year,continent,meanExp,sdExp,minExp,maxExp,medianExp
1952,Africa,39.1355,5.151581434327696,30,52.724,38.833
1952,Americas,53.27984,9.326081883978215,37.579,68.75,54.745
1952,Asia,46.31439393939394,9.29175069597824,28.801,65.39,44.869
1952,Europe,64.4085,6.3610882540538665,43.585,72.67,65.9
1952,Oceania,69.255,0.19091883092036502,69.12,69.39,69.255
1957,Africa,41.26634615384615,5.620122854300954,31.57,58.089,40.5925
1957,Americas,55.96028,9.033192276819971,40.696,69.96,56.074
1957,Asia,49.318544242424245,9.635428619402147,30.332,67.84,48.284
1957,Europe,66.70306666666667,5.295805392385844,48.079,73.47,67.65
1957,Oceania,70.295,0.0494974746830535,70.26,70.33,70.295
1962,Africa,43.319442307692306,5.875363933370214,32.767,60.246,42.6305
1962,Americas,58.39876,8.503543738152151,43.428,71.3,58.299
1962,Asia,51.56322303030303,9.820631940664667,31.997,69.39,49.325
1962,Europe,68.53923333333333,4.302499559665236,52.098,73.68,69.525
1962,Oceania,71.08500000000001,0.2192031021678213,70.93,71.24,71.08500000000001
1967,Africa,45.334538461538465,6.082672627440124,34.113,61.557,44.698499999999996
1967,Americas,60.41092,7.90917103705144,45.032,72.13,60.523
1967,Asia,54.66364,9.650964582325438,34.02,71.43,53.655
1967,Europe,69.7376,3.799728498467879,54.336,74.16,70.61
1967,Oceania,71.31,0.2969848480983512,71.1,71.52,71.31
1972,Africa,47.45094230769231,6.416258323895577,35.4,64.274,47.0315
1972,Americas,62.39492,7.323016801610294,46.714,72.88,63.441
1972,Asia,57.31926909090909,9.72270004073083,36.088,73.42,56.95
1972,Europe,70.77503333333334,3.2405763693743004,57.005,74.72,70.885
1972,Oceania,71.91,0.028284271247466325,71.89,71.93,71.91
1977,Africa,49.580423076923076,6.808197410060829,36.788,67.064,49.272499999999994
1977,Americas,64.39156,7.069495615435845,49.923,74.21,66.353
1977,Asia,59.61055636363636,10.02219698181673,31.22,75.38,60.765
1977,Europe,71.93776666666666,3.1210299768012413,59.507,76.11,72.33500000000001
1977,Oceania,72.85499999999999,0.8980256121069126,72.22,73.49,72.85499999999999
1982,Africa,51.592865384615386,7.375940089046932,38.445,69.885,50.756
1982,Americas,66.22884,6.720833819053506,51.461,75.76,67.405
1982,Asia,62.617939393939395,8.535221408739913,39.854,77.11,63.739
1982,Europe,72.8064,3.218260298938564,61.036,76.99,73.49000000000001
1982,Oceania,74.28999999999999,0.6363961030678867,73.84,74.74,74.28999999999999
1987,Africa,53.344788461538464,7.864089108307056,39.906,71.913,51.6395
1987,Americas,68.09072,5.801928842491376,53.636,76.86,69.498
1987,Asia,64.85118181818181,8.203791884147787,40.822,78.67,66.295
1987,Europe,73.64216666666667,3.169680339406955,63.108,77.41,74.815
1987,Oceania,75.32,1.4142135623730951,74.32,76.32,75.32
1992,Africa,53.629576923076925,9.461070986397527,23.599,73.615,52.429
1992,Americas,69.56836,5.167103805808434,55.089,77.95,69.862
1992,Asia,66.53721212121212,8.075548970339323,41.674,79.36,68.69
1992,Europe,74.4401,3.2097810898607366,66.146,78.77,75.451
1992,Oceania,76.945,0.8697413408594562,76.33,77.56,76.945
1997,Africa,53.59826923076923,9.103386575433332,36.087,74.772,52.759
1997,Americas,71.15048,4.887583896296138,56.671,78.61,72.146
1997,Asia,68.02051515151516,8.091170608760871,41.763,80.69,70.265
1997,Europe,75.50516666666667,3.1046765513505186,68.835,79.39,76.116
1997,Oceania,78.19,0.9050966799187816,77.55,78.83,78.19
2002,Africa,53.32523076923077,9.58649585045544,39.193,75.744,51.2355
2002,Americas,72.42204,4.7997054986044025,58.137,79.77,72.047
2002,Asia,69.2338787878788,8.374595388575408,42.129,82,71.028
2002,Europe,76.7006,2.922179578611687,70.845,80.62,77.5365
2002,Oceania,79.74000000000001,0.8909545442950535,79.11,80.37,79.74000000000001
2007,Africa,54.80603846153846,9.630780671961794,39.613,76.442,52.926500000000004
2007,Americas,73.60812,4.440947630855378,60.916,80.653,72.899
2007,Asia,70.72848484848485,7.9637244706905665,43.828,82.603,72.396
2007,Europe,77.6486,2.979812660160899,71.777,81.757,78.60849999999999
2007,Oceania,80.7195,0.7290270914033347,80.204,81.235,80.7195
